#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Come On Eileen","Dexys Midnight Runners",77,107,"","","Too Rye Ay",1982-07-22,04:47,45,66,66,0,78,0,20,-7,D,4,2025-01-15,3MrWxJaD2AT0W9DjWF64Vm,"Mercury Nashville",10B,GBF088200006
2,"Go West - 2003 Remaster","Pet Shop Boys",66,121,"synthpop, new wave","Pop, Rock, Electronic","PopArt: The Hits",2003-00-00,05:04,54,95,2,0,44,0,30,-6,G,4,2025-01-15,5Klo65Y9uouLjNVDV3pqh7,"Parlophone UK",9B,GBCEW0300002
3,"Dressed For Success","Roxette",0,120,"swedish pop","Pop","Look Sharp! (Extended Version)",1988-10-21,04:09,74,67,8,0,86,0,10,-5,F,4,2025-01-15,3y8pywLbRGC1x8oCDeTMyL,"WM Sweden",7B,SEAME8878020
4,"Sandstorm","Darude",71,136,"eurodance","Electronic, Pop","Before the Storm, Special Edition",2001-01-01,03:45,53,97,14,99,59,0,0,-8,B minor,4,2025-01-15,6Sy9BUbgFse0n0LPA5lwy5,"16 Inch Records",10A,FISGC9900001
5,"The Middle","Zedd, Maren Morris, Grey",78,107,"edm, country","Country, Electronic","The Middle",2018-01-23,03:04,75,66,17,0,44,0,10,-3,G,4,2025-01-15,09IStsImFySgyp0pIQdqAc,"UMGRI Interscope",9B,USUM71800463
6,"Worth It (feat. Kid Ink)","Fifth Harmony, Kid Ink",77,100,"","","Reflection (Deluxe)",2015-01-30,03:44,88,77,6,0,59,0,10,-4,G#/A♭,4,2025-01-15,41Fflg7qHiVOD6dEPvsCzO,"Syco Music/Epic",4B,USSM11406644
7,"Rockstar","Nickelback",66,144,"post-grunge, rock","Rock","All the Right Reasons (Walmart Exclusive Edition)",2005-09-26,04:12,62,91,5,0,69,0,30,-3,C,4,2025-01-15,3RlsVPIIs5KFhLFhxZ4iDF,"Roadrunner Records",8B,NLA320581343
8,"Coco Jamboo","Mr. President",74,100,"eurodance","Electronic, Pop","We See The Same Sun",1996-05-17,03:38,83,84,8,0,97,0,10,-5,C♯/D♭ minor,4,2025-01-15,5fRvePkRGdpn2nKacG7I6d,"First Class Dancefloor Music",12A,DEBS80500020
9,"Ooh Aah...Just a Little Bit - Motiv8 Radio Edit","Gina G, Motiv8",51,131,"eurodance","Electronic, Pop","Fresh",1997-03-24,03:23,65,94,63,17,94,0,0,-7,C♯/D♭,4,2025-01-15,7kyMLaXepcGHIrsLqoiTB8,"WM UK",3B,GBAHT9600802
10,"Yes sir, alkaa polttaa - Yes Sir, I Can Boogie","Eini",31,124,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Eini",1978-00-00,04:24,52,59,19,0,59,0,10,-6,B minor,4,2025-01-15,5tvldSnGSBv7mpXilt7fQd,"WM Finland",10A,FIFMF7800009
11,"I'll Take You There","The Staple Singers",62,102,"soul, motown, classic soul","R&B, Pop, Blues","The Very Best Of The Staple Singers",2007-01-01,03:16,85,60,9,0,78,0,0,-8,C,4,2025-01-15,5YLnfy7R2kueN0BRPkjiEG,"Stax",8B,USFI80700331
12,"Common People - Full Length Version","Pulp",67,145,"britpop, madchester","Pop, Rock","Different Class",1995-10-30,05:51,31,80,1,0,57,0,0,-9,C,4,2025-01-15,2fXKyAyPrEa24c6PJyqznF,"Universal-Island Records Ltd.",8B,GBAAN9500078
13,"Sweat (A La La La La Long)","Inner Circle",3,173,"reggae, roots reggae","Reggae","Blazzin' Fire",2010-12-14,03:47,79,73,1,0,94,20,10,-8,C,4,2025-01-15,1SssFw74DdHVjRa6ADggdD,"DubShot Records/Sound Bwoy Entertainment",8B,USA2P1004785
14,"Creep","Radiohead",5,92,"art rock, alternative rock","Rock","Pablo Honey",1993-02-22,03:58,52,43,1,0,10,0,10,-10,G,4,2025-01-15,6b2oQwSGFkzsMtQruIWm2p,"XL Recordings",9B,GBAYE9200070
15,"What Can I Do","The Corrs, Tin Tin Out",59,78,"celtic rock","Rock","Talk on Corners",1998-10-17,04:19,63,52,34,0,69,0,10,-8,A,4,2025-01-15,4rvT5iZVOCJeXZrDvy6JFK,"Atlantic Records",11B,USAT29800219
16,"Ayo Technology","Milow",0,128,"","","Milow",2009-04-23,03:33,78,66,64,0,78,0,10,-8,B minor,4,2025-01-15,0Pvo0X51jIUXjC6tH4OO36,"Play on",10A,BEA890800003
17,"Gonna Make You Sweat (Everybody Dance Now) (feat. Freedom Williams)","C & C Music Factory, Freedom Williams",62,114,"hip house","Electronic, Hip Hop","Gonna Make You Sweat",1990-12-18,04:03,56,74,0,42,80,0,10,-11,F#/G♭,4,2025-01-15,36rXHqN7D1ETFhyKXXKs4w,"Columbia",2B,USSM19000533
18,"Juppihippipunkkari","Neljä Ruusua",43,110,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Haloo",1992-01-01,03:19,57,86,0,0,60,0,30,-10,C♯/D♭ minor,4,2025-01-15,6a8aig0BQiwfnNaw6C5A6a,"Parlophone",12A,FIEFP9200029
19,"Watermelon Sugar","Harry Styles",82,95,"","","Fine Line",2019-12-13,02:53,55,82,12,0,56,0,30,-4,C,4,2025-01-15,6UelLqGlWMcVH1E5c4H7lY,"Columbia",8B,USSM11912587
20,"Let's Dance","Chris Montez",49,76,"","","The Hits",1962-01-01,02:29,75,83,21,0,94,10,0,-6,C♯/D♭,4,2025-01-15,2Qm5DrmotzWvqNM3JlcQYo,"Monogram Records",3B,NLG620401490
21,"Dynamite","BTS",79,114,"k-pop","Pop","BE",2020-11-20,03:19,75,77,1,0,74,10,0,-4,F#/G♭ minor,4,2025-01-15,5QDLhrAOJJdNAmCTJ8xMyW,"BIGHIT MUSIC",11A,QM7282022872
22,"Hold My Hand","Jess Glynne",66,123,"","","I Cry When I Laugh",2015-00-00,03:47,65,82,0,0,43,0,0,-6,C,4,2025-01-15,1eOJAiCKFuMda0fPRvjcuc,"Atlantic Records UK",8B,GBAHS1500049
23,"Suklaasydän - Mama's Pearls","Brita Koivunen",21,179,"iskelmä","Traditional Music","Brita Koivunen ja Olli Hämeen kvintetti",1957-00-00,02:29,49,21,65,0,79,0,0,-14,G,4,2025-01-15,4q5ALFIbrkLni1fM3j5ioA,"WM Finland",9B,FIFSC5600900
24,"Centuries","Fall Out Boy",81,176,"emo, pop punk","Rock, Pop","American Beauty/American Psycho",2015-01-16,03:48,39,86,0,0,56,0,10,-3,E minor,4,2025-01-15,04aAxqtGp5pv12UXAg4pkq,"Island Records",9A,USUM71412644
25,"Absolutely Everybody","Vanessa Amorosi",52,123,"","","The Power (15 Year Anniversary Re-issue)",2000-04-03,03:44,67,96,29,0,86,0,10,-5,C♯/D♭,4,2025-01-15,0DaOFUhUEc416QdUaW9paE,"CBK Productions",3B,AUV401421248
26,"I'm Outta Love - Radio Edit","Anastacia",69,119,"","","Pieces Of A Dream",1999-00-00,04:05,76,72,40,0,65,0,0,-6,A#/B♭ minor,4,2025-01-15,583xVl0Sbj93uU4ceixgU8,"Epic",3A,USSM19925562
