#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Osuma","Ellinoora, Samuli Putro",42,124,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Osuma",2024-02-16,04:24,73,57,16,0,42,0,10,-6,F#/G♭ minor,4,2025-06-11,6xm5YXX42b1dx4UM2UrOtX,"WM Finland",11A,FIWMA2400031
2,"Tulipalo","KUUMAA",50,122,"finnish pop, iskelmä","Pop, Traditional Music","Hyvikset ja pahikset",2023-03-30,03:03,74,68,25,0,59,0,10,-8,A#/B♭,4,2025-06-11,50MCpRAPLw8KXn8j6j2yb7,"Universal Music Oy",6B,FIUM72200235
3,"Päästä varpaisiin","Behm",51,180,"finnish pop, iskelmä, finnish hip hop, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Draaman kaari viehättää",2020-09-18,03:00,48,18,93,0,30,0,0,-13,B minor,4,2025-06-11,3VsTpdea6RXkvbwLBjiCB9,"WM Finland",10A,FIWMA2000214
4,"Kultaa Hiuksissa","Olavi Uusivirta",47,80,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Olavi",2016-02-12,03:52,53,94,1,6,80,0,30,-5,A minor,4,2025-06-11,3JdOPNGP3mFBis5W30YiQ5,"Johanna Kustannus Oy",8A,FIUM71500661
5,"Uuteen eiliseen","Mirella",41,120,"finnish pop, finnish hip hop","Hip Hop, Pop","Uuteen eiliseen",2024-03-14,02:44,65,66,33,0,60,0,0,-4,C♯/D♭ minor,4,2025-06-11,7F8qxqsIVThVPpSlxJSXVs,"Universal Music Oy",12A,FIUM72400065
6,"Yötön yö","Etta",36,174,"finnish hip hop, finnish pop","Hip Hop, Pop","Yötön yö",2024-09-13,02:49,48,62,43,0,17,0,0,-8,C,4,2025-06-11,00EI0kIF3M2K4wrxJmsXWF,"WM Finland",8B,FIWMA2400325
7,"Viimeinen tanssi","Behm, Olavi Uusivirta",43,133,"finnish pop, iskelmä, finnish hip hop, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Viimeinen tanssi",2023-05-26,03:42,68,83,10,0,89,0,20,-6,F#/G♭ minor,4,2025-06-11,39yHmPnviyu4dxSqMU9SQ7,"WM Finland",11A,FIWMA2300201
8,"Väärään aikaan (feat. HUGO)","AHTI, HUGO",45,144,"finnish hip hop, finnish pop","Hip Hop, Pop","Väärään aikaan (feat. HUGO)",2023-12-08,03:02,71,68,23,0,74,0,10,-5,D minor,4,2025-06-11,1iZOPk4TnPpL1NOqCXSoRv,"WM Finland",7A,FIWMA2300621
9,"Puhu äänellä jonka kuulen","Happoradio",48,78,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Kaunis Minä",2008-08-14,04:05,54,52,23,0,21,0,10,-7,B,4,2025-06-11,28ww5AUl4MVUfw4C1xlFBk,"Epic",1B,FIBAR0800261
10,"Kukaan ei koskaan","Vesterinen Yhtyeineen",43,62,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Jönköping",2009-01-01,04:42,23,42,5,0,31,0,10,-7,A minor,4,2025-06-11,2nVBEz5JPYLMiisLNtl74I,"Universal Music Oy",8A,FIUM70900408
11,"Olet puolisoni nyt","Samuli Putro",50,118,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Tavalliset hautajaiset",2012-08-24,03:56,62,65,2,0,55,0,20,-8,C,4,2025-06-11,20lUjyfg5xXXl87VHtiOFi,"WM Finland",8B,FIK3E1200034
12,"Epäröimättä hetkeekään (feat. Jenni Vartiainen)","Elastinen, Jenni Vartiainen",43,93,"finnish hip hop, finnish pop, iskelmä, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Uusia Muistoi",2020-11-13,03:22,45,64,4,0,32,0,30,-10,G#/A♭ minor,4,2025-06-11,4T4gxNvM8EBbfxETZxxbTo,"WM Finland",1A,FIK3E2000346
13,"Minä liityin sinuun","Mariska",43,85,"finnish pop, iskelmä, finnish hip hop, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Mariska",2019-10-18,03:29,60,71,47,0,16,0,0,-6,A minor,4,2025-06-11,3KXMfn5125nGdHRiEyhdrw,"Universal Music Oy",8A,FIUM71900362
14,"Tummilla teillä","Vesterinen Yhtyeineen",48,148,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Faaraoiden aika",2019-00-00,03:51,54,86,1,1,61,0,20,-6,B minor,4,2025-06-11,01hQQr1vfQiz4LPpQnDGiO,"Universal Music Oy",10A,FIL1C1800013
15,"Häitä pidelly","Robin Packalen, Tupe.",44,140,"finnish pop, iskelmä, finnish hip hop","Hip Hop, Pop, Traditional Music","Punasel",2024-11-28,03:03,69,88,10,0,74,0,10,-5,G,4,2025-06-11,78KrPW1qvURVoGJEk9ej2G,"Universal Music Oy",9B,FIUM72400196
