#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"All I Want for Christmas Is You","Mariah Carey",91,150,"christmas","Pop","Merry Christmas",1994-10-28,04:01,34,63,16,0,35,0,0,-7,G,4,2025-11-24,0bYg9bo50gSsH3LtXe2SQn,"Columbia",9B,USSM19400325
2,"Joulun kanssas jaan (feat. Cantores Minores)","Haloo Helsinki!, Cantores Minores",54,188,"finnish pop, finnish rock, iskelmä","Pop, Rock, Traditional Music","Joulun kanssas jaan (feat. Cantores Minores)",2017-11-30,04:38,47,54,5,0,23,0,10,-9,G#/A♭,3,2025-11-24,3RCxl6HWK4ADOzMbY8FZCw,"Ratas Music",4B,FIBAR1700324
3,"Last Christmas","Wham!",1,107,"christmas","Pop","Christmas Hits",2013-09-20,04:26,74,65,28,0,88,0,40,-8,B minor,4,2025-11-24,0QPYn15U8IQHKcH2LDfrek,"Sony Music Entertainment",10A,GBBBM8400019
4,"It's Beginning to Look a Lot like Christmas","Michael Bublé",24,95,"christmas","Pop","Christmas (Deluxe Special Edition)",2012-11-09,03:26,34,21,91,0,36,0,30,-12,E,3,2025-11-24,5a1iz510sv2W9Dt1MvFd5R,"143/Reprise",12B,USRE11100700
5,"Snowman","Sia",0,105,"","","Snowman",2017-11-09,02:45,72,51,48,0,33,0,0,-6,C♯/D♭,3,2025-11-24,3mj6prXmzqkj3PA3lg5ySK,"Monkey Puzzle/Atlantic",3B,USAT21704212
6,"Tulkoon joulu","Suvi Teräsniska",50,92,"iskelmä, finnish pop, christmas","Pop, Traditional Music","Tulkoon joulu",2009-11-06,04:37,49,51,69,0,33,0,10,-6,G,3,2025-11-24,1K0ZirzQ9KtHAKOLB5efXs,"WM Finland",9B,FI3HM0900154
7,"Joulumaa","Katri Helena",0,146,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Kaikkien Aikojen Paras Joululevy",2011-01-01,03:24,57,24,75,0,37,0,0,-14,C,3,2025-11-24,0lOynpPWI6YHhgnu2CvM25,"Capitol Records",8B,FIFMF9600345
8,"Jingle Bell Rock","Bobby Helms",87,120,"christmas, villancicos","Pop, Traditional Music","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)",1957-12-02,02:10,75,42,64,0,81,0,0,-8,D,4,2025-11-24,7vQbuQcyTflfCIOu3Uzzya,"Geffen",10B,USMC15746480
9,"Santa Tell Me","Ariana Grande",0,133,"pop","Pop","Santa Tell Me",2014-11-24,03:24,46,63,5,0,53,10,30,-7,G,5,2025-11-24,1ADjWm8QNhgNV8yCNNgQ1T,"Universal Music Group",9B,USUM71417401
10,"Rockin' Around The Christmas Tree - Single Version","Brenda Lee",0,140,"christmas","Pop","Anthology 1956-1980 (Volume 1 & 2)",1991-01-01,02:05,69,40,70,0,84,0,40,-12,G#/A♭,4,2025-11-24,1XBc4r6ltXjkFJBrsttwIF,"Interscope",4B,USMC15848998
11,"Let It Snow, Let It Snow, Let It Snow","Dean Martin",0,134,"christmas, adult standards, big band, swing music","Easy Listening, Jazz, Pop","My Kind Of Christmas",2011-09-20,01:57,50,29,78,0,71,0,20,-11,C♯/D♭,4,2025-11-24,1prYSRBfwPvE3v8jSRZL3Q,"The Dean Martin Family Trust",3B,USCA29800523
12,"Underneath the Tree","Kelly Clarkson",84,160,"christmas","Pop","Wrapped In Red",2013-10-25,03:49,51,81,0,0,69,0,20,-5,G#/A♭,4,2025-11-24,3nAp4IvdMPPWEH9uuXFFV5,"RCA Records Label",4B,GBCTA1300103
13,"Mistletoe","Justin Bieber",0,162,"","","Under The Mistletoe (Deluxe Edition)",2011-01-01,03:02,67,54,51,0,88,0,0,-9,F#/G♭ minor,4,2025-11-24,32OWobmyAz8J2qA8iWekyS,"Universal Music Group",11A,USUM71116290
14,"Joulupukin Töissä","J. Karjalainen",43,104,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Kaikkien Aikojen Paras Joululevy 2",2011-01-01,02:55,65,80,39,18,88,0,10,-9,G,4,2025-11-24,5capWv86zDd1EsxcDHOnh2,"Capitol Records",9B,FIJPR1100001
15,"Sydämeeni joulun teen","Vesa-Matti Loiri",46,170,"iskelmä, finnish pop, finnish rock, christmas","Pop, Rock, Traditional Music","Sydämeeni joulun teen",1988-00-00,03:18,18,33,80,16,31,0,10,-10,F minor,3,2025-11-24,2Kouu3rnDZ5ZVqWtPEAsGo,"WEA",4A,FIFLF8800001
16,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",1,147,"christmas, art rock","Rock, Pop","Power To The People - The Hits",2010-10-04,03:33,33,61,32,0,40,0,70,-11,D,3,2025-11-24,3zJw3rugfpVrmBeDDnUYzy,"EMI Catalogue",10B,GBAYE1000862
17,"Lämmin lumi peittää maan","Antti Tuisku",47,144,"finnish pop, iskelmä","Pop, Traditional Music","Minun Jouluni",2005-11-14,03:59,54,58,30,0,28,0,10,-7,A#/B♭,4,2025-11-24,5T4wJfpwn3sEJdA4OovEfR,"RCA Records Label",6B,FIBAR0500226
18,"Holly Jolly Christmas","Michael Bublé",22,151,"christmas","Pop","Christmas (Deluxe Special Edition)",2012-11-09,01:59,65,47,87,0,70,0,0,-8,G,4,2025-11-24,5PuKlCjfEVIXl0ZBp5ZW9g,"143/Reprise",9B,USRE11100705
19,"Joulupukki matkaan jo käy","Kirka",40,170,"iskelmä, finnish pop, finnish rock","Pop, Rock, Traditional Music","Joulun Toivotut",2014-01-01,03:03,48,72,67,0,83,0,10,-9,D,4,2025-11-24,4DpfayW5CH6TTlGAkwiCgd,"Poptori",10B,FIFLF8600002
20,"White Christmas - 1947 Version","Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",3,100,"christmas","Pop","Holiday Inn (Original Motion Picture Soundtrack)",1942-01-01,02:57,29,16,67,36,25,0,30,-16,A,4,2025-11-24,4so0Wek9Ig1p6CRCHuINwW,"Geffen",11B,USMC14750470
21,"Taivas sylissäni","Ilta",42,84,"finnish pop, iskelmä","Pop, Traditional Music","Taivas sylissäni",2018-11-30,03:22,41,25,74,0,20,0,10,-10,A minor,3,2025-11-24,1LecaAoGYag5SGnVdj924O,"WM Finland",8A,FIWMA1800358
22,"My Only Wish (This Year)","Britney Spears",0,147,"pop","Pop","Christmas Hits",2013-09-20,04:14,67,72,17,0,67,0,10,-8,C,4,2025-11-24,1R7XAC26tgDaa7SRG4HaPo,"Sony Music Entertainment",8B,USJI10000522
23,"Feliz Navidad","José Feliciano",77,149,"christmas, bolero, villancicos","Latin, Traditional Music, Pop","The Definite Best",2001-09-03,03:02,49,86,53,0,96,0,30,-7,D,4,2025-11-24,7taXf5odg9xCAZERYfyOkS,"RCA Records Label",10B,USRC19900930
