#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud (Db),Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,ISRC
1,"Kun Suomi Putos Puusta","Ismo Alanko",29,105,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Kun Suomi Putos Puusta",1990-01-01,04:21,43,34,74,0,39,0,30,-17,E minor,4,2025-08-30,33ezwwAummI5vN1hFABJ7h,"POKO",9A,FIUNS9000101
2,"Ikuinen vappu","JVG",45,121,"finnish hip hop, finnish pop, iskelmä","Hip Hop, Pop, Traditional Music","RATA/RAITTI",2019-06-14,03:07,67,77,6,0,71,0,10,-5,G minor,4,2025-08-30,4ycKgmGOtvuJZVPyvBpVVU,"WM Finland",6A,FIWMA1900030
3,"Samaa taivasta katsotaan","Portion Boys",37,165,"finnish pop, iskelmä, finnish hip hop, finnish rock","Hip Hop, Pop, Rock, Traditional Music","Samaa taivasta katsotaan",2023-01-19,03:03,52,94,3,0,42,10,20,-6,C♯/D♭,4,2025-08-30,6ISLBKxChtxZ5Ws6nO6Cbi,"Sony Music Entertainment Finland",3B,FIMFY2300001
4,"Rahan takii","Antti Tuisku",37,124,"finnish pop, iskelmä","Pop, Traditional Music","Anatude",2017-09-15,03:27,75,78,1,0,82,0,20,-4,G minor,4,2025-08-30,1NB2U3ix3mCQ3LLojIt1P7,"WM Finland",6A,FIWMA1700026
5,"Älä droppaa mun tunnelmaa","Vesala",37,105,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Vesala",2016-06-17,03:23,74,61,65,0,83,10,10,-5,D#/E♭,4,2025-08-30,1aty40lOztXmjuKi1XO81m,"WM Finland",5B,FIWMA1600125
6,"Paha, paha asia","Apulanta",22,97,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Kolme",1997-00-00,02:37,40,87,0,4,61,0,10,-13,C♯/D♭,4,2025-08-30,5EETpzfYR1u3XOPxIHV3sR,"Levy-yhtiö Oy",3B,FIATN9700050
7,"Anna mulle piiskaa","Apulanta",37,117,"finnish rock, finnish pop, iskelmä","Pop, Rock, Traditional Music","Kolme",1997-00-00,03:15,39,78,0,0,37,0,10,-10,A minor,4,2025-08-30,4hr9ytfYWSLHq9Ivt0xAlL,"Levy-yhtiö Oy",8A,FIATN9700060
8,"Bäng Bäng typerä sydän (feat. eetu)","Ellinoora, eetu",35,120,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Bäng Bäng typerä sydän (feat. eetu)",2018-06-01,04:04,65,54,33,0,41,0,20,-10,C minor,4,2025-08-30,5g4KyDNIMfAVhrMh3zJGRH,"WM Finland",5A,FIWMA1800210
9,"Mökkitie","Arttu Wiskari",45,128,"finnish pop, iskelmä, finnish rock","Pop, Rock, Traditional Music","Arttu Wiskari",2011-06-07,03:09,63,40,61,0,32,0,20,-8,F,4,2025-08-30,6jN8PJP4SYnnz4BT8dn127,"WM Finland",7B,FIWMA1000734
10,"Itkisitkö onnesta?","Leevi and the leavings",43,132,"iskelmä, finnish rock, finnish pop","Pop, Rock, Traditional Music","Rakkauden planeetta",1995-01-01,04:43,76,64,8,0,86,0,40,-9,E,4,2025-08-30,0ZR4vIQTcbubzYPqV1ODqD,"Johanna Kustannus Oy",12B,FIJKA9500150
